STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2001,,194891.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2002,,196394.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2003,,194566.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2004,,198047.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2005,,199595.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2006,,202839.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2007,,207923.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2008,,208587.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2009,,202075.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2010,,205586.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2011,,202063.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2012,,193878.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2013,,191970.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2014,,193393.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2015,,196467.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2016,,200405.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2017,,207048.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2018,,213148.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2019,,219000.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2020,,201032.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2021,,212207.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2022,,227032.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2023,,232964.8,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,PT,Portugal,2024,,237449.8,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,1995,,527519.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,1996,,548133.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,1997,,521553.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,1998,,510967.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,1999,,509042.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2000,,521571.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2001,,548787.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2002,,580085.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2003,,593665.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2004,,655573.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2005,,686177.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2006,,741268.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2007,,794890.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2008,,868875.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2009,,820941.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2010,,788877.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2011,,824342.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2012,,840034.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2013,,842376.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2014,,877048.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2015,,904736.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2016,,930611.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2017,,1006879.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2018,,1068510.5,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2019,,1110430.9,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2020,,1069629.4,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2021,,1128948.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2022,,1173714.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2023,,1201933.4,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RO,Romania,2024,,1211713.5,,p,provisional,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,1995,,2802474.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,1996,,2975245.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,1997,,3241030.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,1998,,3414187.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,1999,,3061655.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2000,,3247041.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2001,,3467142.6,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2002,,3693930.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2003,,3862361.7,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2004,,4120632.8,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2005,,4363894.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2006,,4534115.1,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2007,,4889230.3,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2008,,5141558.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2009,,4979979.0,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2010,,5060205.2,,,,,
dataflow,ESTAT:NAMA_10_GDP(1.0),"Gross domestic product (GDP) and main components (output, expenditure and income)",A,Annual,CLV20_MNAC,"Chain linked volumes (2020), million units of national currency",B1GQ,Gross domestic product at market prices,RS,Serbia,2011,,5062951.4,,,,,
