STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2015,,4.27,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2016,,4.29,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2017,,4.47,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2018,,4.69,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2019,,4.56,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2020,,4.26,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2021,,4.47,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2022,,4.27,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,LV,Latvia,2023,,4.27,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2010,,2.51,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2011,,2.56,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2012,,2.49,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2013,,2.52,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2014,,2.54,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2015,,2.57,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2016,,2.67,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2017,,2.81,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2018,,2.92,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2019,,2.78,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2020,,2.64,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2021,,2.95,,,,,
dataflow,ESTAT:NRG_IND_EFF(1.0),Energy efficiency,A,Annual,PEC_EED,Primary energy consumption - Energy Efficiency Directive,MTOE,Million tonnes of oil equivalent,MD,Moldova,2022,,2.64,,,,,
